Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 19:19:44,2019-05-05 19:26:29,6m - 45.240s,FAILED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 19:19:45,2019-05-05 19:20:32,47.341s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 19:19:45,2019-05-05 19:19:48,2.911s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 19:19:48,2019-05-05 19:20:25,36.730s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 19:20:25,2019-05-05 19:20:29,4.027s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 19:20:29,2019-05-05 19:20:29,0.144s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 19:20:29,2019-05-05 19:20:31,2.003s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:31,0.069s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:31,0.033s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:31,0.044s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:31,0.069s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:31,0.083s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 19:20:31,2019-05-05 19:20:32,0.755s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 19:20:32,2019-05-05 19:21:22,49.512s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 19:20:32,2019-05-05 19:20:34,1.403s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 19:20:34,2019-05-05 19:21:10,36.552s,PASSED
delay(5),Chrome 74.0.3729.131,,,2019-05-05 19:21:10,2019-05-05 19:21:15,5.005s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 19:21:15,2019-05-05 19:21:15,0.122s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 19:21:15,2019-05-05 19:21:17,2.003s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 19:21:17,2019-05-05 19:21:18,0.155s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 19:21:18,2019-05-05 19:21:18,0.175s,PASSED
"if (verifyElementClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 19:21:18,2019-05-05 19:21:18,0.135s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 19:21:18,2019-05-05 19:21:21,3.003s,PASSED
"if (verifyElementPresent(findTestObject(""Page_BugsUI Dashboard/span_Dashboard""), 0))",Chrome 74.0.3729.131,,,2019-05-05 19:21:21,2019-05-05 19:21:21,0.032s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 19:21:21,2019-05-05 19:21:22,0.672s,PASSED
,,,,,,,
Test Cases/Add_Product/AddProductFields_verification,Chrome 74.0.3729.131,,,2019-05-05 19:21:22,2019-05-05 19:23:08,1m - 46.751s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 19:21:22,2019-05-05 19:21:23,1.387s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 19:21:23,2019-05-05 19:22:22,59.204s,PASSED
delay(3),Chrome 74.0.3729.131,,,2019-05-05 19:22:22,2019-05-05 19:22:25,3.006s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 19:22:25,2019-05-05 19:22:26,0.171s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 19:22:26,2019-05-05 19:22:28,2.008s,PASSED
"setText(findTestObject(""Page_BugsUI/input_username""), ""knagendra-ext"")",Chrome 74.0.3729.131,,,2019-05-05 19:22:28,2019-05-05 19:22:28,0.475s,PASSED
"setText(findTestObject(""Page_BugsUI/input_password""), ""Kum1!@#$%^&*()ar"")",Chrome 74.0.3729.131,,,2019-05-05 19:22:28,2019-05-05 19:22:29,0.499s,PASSED
