Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeSuite,Chrome 74.0.3729.131,,,2019-05-05 13:38:10,2019-05-05 13:42:14,4m - 3.924s,PASSED
,,,,,,,
Test Cases/Login/Bugzilla-LoginPage-Loads,Chrome 74.0.3729.131,,,2019-05-05 13:38:10,2019-05-05 13:38:34,24.142s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:38:10,2019-05-05 13:38:13,2.939s,PASSED
navigateToUrl(applicationUrl),Chrome 74.0.3729.131,,,2019-05-05 13:38:13,2019-05-05 13:38:27,13.678s,PASSED
delay(4),Chrome 74.0.3729.131,,,2019-05-05 13:38:27,2019-05-05 13:38:31,4.028s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,,2019-05-05 13:38:31,2019-05-05 13:38:31,0.155s,PASSED
delay(2),Chrome 74.0.3729.131,,,2019-05-05 13:38:31,2019-05-05 13:38:33,2.008s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_username""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:33,0.085s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/input_password""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:33,0.029s,PASSED
"verifyElementPresent(findTestObject(""Page_BugsUI/checkbox_RememberMe""), 0)",Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:33,0.023s,PASSED
"if (getText(findTestObject(""Page_BugsUI/label_rememberMe"")).equals(""Remember me""))",Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:33,0.049s,PASSED
"if (verifyElementNotClickable(findTestObject(""Page_BugsUI/button_Login"")))",Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:33,0.047s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,,2019-05-05 13:38:33,2019-05-05 13:38:34,0.655s,PASSED
,,,,,,,
Test Cases/Login/Valid_Login,Chrome 74.0.3729.131,,,2019-05-05 13:38:34,2019-05-05 13:38:59,25.381s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,,2019-05-05 13:38:34,2019-05-05 13:38:36,1.368s,PASSED
